BMapID	ExpID	Exp Name	Year	1st Author	PubMed	Diagnosis	Stimulus Mod	Stimulus Type	Response Mod	Response Type	Instructions	Context	Paradigm	Behavior	Activation	#Subj
30006	2	Words > Tones - Active	Brain	1996	Binder J R	8813286	Normals	Auditory	Tones, Words	Hand	Button Press	Detect, Discriminate	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics, Cognition.Language.Speech	Y	12
30006	3	Tones > Words - Passive	Brain	1996	Binder J R	8813286	Normals	Auditory	Tones, Words	Hand	Button Press	Detect	Normal Mapping	Tone Monitor/Discrimination	Cognition.Language.Speech	N	12
30006	4	Tones > Words - Active	Brain	1996	Binder J R	8813286	Normals	Auditory	Tones, Words	Hand	Button Press	Detect, Discriminate	Normal Mapping	Tone Monitor/Discrimination	Cognition.Language.Semantics, Cognition.Language.Speech	N	12
30007	1	Intersection between Active Shape Discrimination vs. Rest and Passive Shape Discrimination vs. Rest	Neuron	2001	Bodegard A	11502261	Normals	None, Tactile	None, Objects	Hand, None	Manipulate, None	Discriminate, Passive/Rest	Normal Mapping	Tactile Monitor/Discrimination	Perception.Somesthesis	Y	7
30008	1	Visual Word Stem Completion vs. Fixation	Brain	2000	Buckner R L	10686183	Normals	Visual	Fixation Point, Syllables	None	None	Fixate, Generate	Normal Mapping	Word Stem Completion (Covert)	Cognition.Language.Phonology, Cognition.Language.Speech	Y	8
30008	2	Word Stem Completion + Verb Generation	Brain	2000	Buckner R L	10686183	Normals	Visual	Fixation Point, Syllables, Words	None	None	Fixate, Generate	Normal Mapping	Word Generation (Covert), Word Stem Completion (Covert)	Cognition.Language.Phonology, Cognition.Language.Semantics, Cognition.Language.Speech	Y	8
30008	3	Auditory Word Stem Completion vs. Fixation	Brain	2000	Buckner R L	10686183	Normals	Auditory, Visual	Fixation Point, Syllables	None	None	Fixate, Generate	Normal Mapping	Word Stem Completion (Covert)	Cognition.Language.Phonology, Cognition.Language.Speech	Y	12
30009	1	Recognition - Fixation, Increases	NeuroImage	1998	Buckner R L	9597657	Normals	Visual	Fixation Point, Words	Hand, None	Button Press, None	Discriminate, Fixate	Normal Mapping	Orthographic Discrimination, Semantic Monitor/Discrimination	Cognition.Memory.Explicit	Y	26
30009	2	Recognition - Fixation, Decreases	NeuroImage	1998	Buckner R L	9597657	Normals	Visual	Fixation Point, Words	Hand, None	Button Press, None	Discriminate, Fixate	Normal Mapping	Orthographic Discrimination, Semantic Monitor/Discrimination	Cognition.Memory.Explicit	N	26
30010	1	Interference - Neutral	Human Brain Mapping	1998	Bush G	9704265	Normals	Visual	Words	Hand	Button Press	Discriminate	Normal Mapping	Stroop	Cognition.Attention	Y	9
30011	1	ER - Fixation	NeuroImage	2002	Cabeza R	12030819	Normals	Visual	Fixation Point, Words	Hand, None	Button Press, None	Fixate, Recall	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	Y	20
30011	2	WM - Fixation	NeuroImage	2002	Cabeza R	12030819	Normals	Visual	Fixation Point, Words	Hand, None	Button Press, None	Fixate, Recall	Normal Mapping	Delayed Match to Sample	Cognition.Memory.Working	Y	20
30012	1	Item - Temporal Order Memory	Neuron	1997	Cabeza R	9354332	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	Y	12
30012	2	Temporal Order - Item Memory	Neuron	1997	Cabeza R	9354332	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	Y	12
30013	1	True/False vs. New	Proceedings of the National Academy of Sciences	2001	Cabeza R	11287664	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	Y	12
30013	2	New vs. True/False	Proceedings of the National Academy of Sciences	2001	Cabeza R	11287664	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	Y	12
30013	3	True vs. False	Proceedings of the National Academy of Sciences	2001	Cabeza R	11287664	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Language.Semantics	Y	12
30013	4	False vs. True	Proceedings of the National Academy of Sciences	2001	Cabeza R	11287664	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Language.Semantics	Y	12
30014	1	Odor Working Memory - Baseline	NeuroImage	2001	Dade L A	11506538	Normals	Olfactory	Odor	Hand	Button Press	Attend, Recall	Normal Mapping	Olfactory Monitor/Discrimination, n-back	Cognition.Memory.Working, Perception.Olfaction	Y	12
30014	2	Face Working Memory - Baseline	NeuroImage	2001	Dade L A	11506538	Normals	Visual	Abstract/Geometrical, Faces	Hand, None	Button Press, None	Attend, Recall	Normal Mapping	Face Monitor/Discrimination, n-back	Cognition.Memory.Working	Y	12
30014	3	Conjunction Analysis	NeuroImage	2001	Dade L A	11506538	Normals	Olfactory, Visual	Abstract/Geometrical, Faces, Odor	Hand, None	Button Press, None	Attend, Recall	Normal Mapping	n-back	Cognition.Memory.Working	Y	12
30015	1	ADAPT - RAND	Experimental Brain Research	2000	Desmurget M	10853949	Normals	Visual	Abstract/Geometrical	Ocular	Saccades	Attend	Normal Mapping	Saccades	Action.Execution, Perception.Vision.Motion	Y	9
30015	2	Forward ADAPT - STAT	Experimental Brain Research	2000	Desmurget M	10853949	Normals	Visual	Abstract/Geometrical	Ocular	Saccades	Attend	Normal Mapping	Saccades	Action.Execution, Perception.Vision.Motion	Y	9
30015	3	ADAPT - STAT	Experimental Brain Research	2000	Desmurget M	10853949	Normals	Visual	Abstract/Geometrical	Ocular	Saccades	Attend	Normal Mapping	Saccades	Action.Execution, Perception.Vision.Motion	Y	9
30015	4	RAND - STAT	Experimental Brain Research	2000	Desmurget M	10853949	Normals	Visual	Abstract/Geometrical	Ocular	Saccades	Attend	Normal Mapping	Saccades	Action.Execution, Perception.Vision.Motion	Y	9
30016	1	Overall hand-reaching effect	Journal of Neuroscience	2001	Desmurget M	11306644	Normals	Visual	Abstract/Geometrical	Hand, Ocular	Point, Saccades	Attend	Normal Mapping	Pointing	Action.Execution, Perception.Vision.Motion	Y	7
30016	2	Strict hand-reaching effect	Journal of Neuroscience	2001	Desmurget M	11306644	Normals	Visual	Abstract/Geometrical	Hand, Ocular	Point, Saccades	Attend	Normal Mapping	Pointing	Action.Execution	Y	7
30016	3	Eye error correction effect	Journal of Neuroscience	2001	Desmurget M	11306644	Normals	Visual	Abstract/Geometrical	Ocular	Saccades	Attend	Normal Mapping	Saccades	Action.Execution, Perception.Vision.Motion	Y	7
30017	1	Spatial, High vs. Low g	Science	2000	Duncan J	10903207	Normals	Visual	Abstract/Geometrical, Shapes	Hand	Button Press	Discriminate	Normal Mapping	Visuospatial Attention	Cognition.Reasoning	Y	13
30017	2	Verbal, High vs. Low g	Science	2000	Duncan J	10903207	Normals	Visual	Letters	Hand	Button Press	Discriminate	Normal Mapping	Orthographic Discrimination	Cognition.Reasoning	Y	13
30017	3	Circles, High vs. Low g	Science	2000	Duncan J	10903207	Normals	Visual	Abstract/Geometrical, Shapes	Hand	Button Press	Discriminate	Normal Mapping	Visuospatial Attention	Cognition.Reasoning	Y	13
30018	1	Episodic > Semantic	Human Brain Mapping	2001	Duzel E	11346889	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	Y	11
30018	2	Semantic > Episodic	Human Brain Mapping	2001	Duzel E	11346889	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics	Y	11
30018	3	Episodic, Old > New	Human Brain Mapping	2001	Duzel E	11346889	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	Y	11
30018	4	Episodic, Living > Non-living	Human Brain Mapping	2001	Duzel E	11346889	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Language.Semantics, Cognition.Memory.Explicit	Y	11
30018	5	Semantic, Old > New	Human Brain Mapping	2001	Duzel E	11346889	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics, Cognition.Memory.Explicit	Y	11
30018	6	Semantic, New > Old	Human Brain Mapping	2001	Duzel E	11346889	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics, Cognition.Memory.Explicit	Y	11
30018	7	Semantic, Living > Non-living	Human Brain Mapping	2001	Duzel E	11346889	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics	Y	11
30018	8	Semantic, Non-living > Living	Human Brain Mapping	2001	Duzel E	11346889	Normals	Visual	Words	Hand	Button Press	Recall	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics	Y	11
30019	1	Episodic - Semantic	Proceedings of the National Academy of Sciences	1999	Duzel E	9990104	Normals	Visual	Words	Hand	Button Press	Discriminate	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	Y	11
30019	2	Semantic - Episodic	Proceedings of the National Academy of Sciences	1999	Duzel E	9990104	Normals	Visual	Words	Hand	Button Press	Discriminate	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics	Y	11
30019	3	Episodic Retrieval Old - New	Proceedings of the National Academy of Sciences	1999	Duzel E	9990104	Normals	Visual	Words	Hand	Button Press	Discriminate	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	Y	11
30019	4	Episodic Retrieval Living - Non-Living	Proceedings of the National Academy of Sciences	1999	Duzel E	9990104	Normals	Visual	Words	Hand	Button Press	Discriminate	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	Y	11
30019	5	Semantic Retrieval Old - New	Proceedings of the National Academy of Sciences	1999	Duzel E	9990104	Normals	Visual	Words	Hand	Button Press	Discriminate	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics	Y	11
30019	6	Semantic Retrieval New - Old	Proceedings of the National Academy of Sciences	1999	Duzel E	9990104	Normals	Visual	Words	Hand	Button Press	Discriminate	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics	Y	11
30019	7	Semantic Retrieval Living - Non-Living	Proceedings of the National Academy of Sciences	1999	Duzel E	9990104	Normals	Visual	Words	Hand	Button Press	Discriminate	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics	Y	11
30019	8	Semantic Retrieval Non-Living - Living	Proceedings of the National Academy of Sciences	1999	Duzel E	9990104	Normals	Visual	Words	Hand	Button Press	Discriminate	Normal Mapping	Semantic Monitor/Discrimination	Cognition.Language.Semantics	Y	11
30020	1	Foot vs. Rest	European Journal of Neuroscience	2000	Ehrsson H H	10998121	Normals	Auditory	Clicks	Foot, None	Flexion/Extension, None	Move, Passive/Rest	Normal Mapping	Flexion/Extension	Action.Execution	Y	8
30020	2	Hand vs. Rest	European Journal of Neuroscience	2000	Ehrsson H H	10998121	Normals	Auditory	Clicks	Hand, None	Flexion/Extension, None	Move, Passive/Rest	Normal Mapping	Flexion/Extension	Action.Execution	Y	8
30020	3	Simultaneous vs. Rest	European Journal of Neuroscience	2000	Ehrsson H H	10998121	Normals	Auditory	Clicks	Foot, Hand, None	Flexion/Extension, None	Move, Passive/Rest	Normal Mapping	Flexion/Extension	Action.Execution	Y	8
30020	4	Hand vs. Foot	European Journal of Neuroscience	2000	Ehrsson H H	10998121	Normals	Auditory	Clicks	Foot, Hand	Flexion/Extension	Move	Normal Mapping	Flexion/Extension	Action.Execution	Y	8
30020	5	Foot vs. Hand	European Journal of Neuroscience	2000	Ehrsson H H	10998121	Normals	Auditory	Clicks	Foot, Hand	Flexion/Extension	Move	Normal Mapping	Flexion/Extension	Action.Execution	Y	8
30020	6	Conjunction Analysis	European Journal of Neuroscience	2000	Ehrsson H H	10998121	Normals	Auditory	Clicks	Foot, Hand, None	Flexion/Extension, None	Move, Passive/Rest	Normal Mapping	Flexion/Extension	Action.Execution	Y	8
30020	7	{(Hand - Rest) + (Foot - Rest)} - (Simultaneous - Rest)	European Journal of Neuroscience	2000	Ehrsson H H	10998121	Normals	Auditory	Clicks	Foot, Hand, None	Flexion/Extension, None	Move, Passive/Rest	Normal Mapping	Flexion/Extension	Action.Execution	Y	8
30021	1	VSWM vs. CTL	Microscopy Research and Technique	2000	Garavan H	11002353	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Normal Mapping	Delayed Match to Sample, Visuospatial Attention	Cognition.Memory.Working	Y	5
30022	1	Smile vs. Rest	Plastic and Reconstructive Surgery	2001	Gosain A K	11604609	Normals	None	None	None, Oral/Facial	None, Smile	Move, Passive/Rest	Normal Mapping	Flexion/Extension	Action.Execution	Y	5
30022	2	Finger-tapping vs. Rest	Plastic and Reconstructive Surgery	2001	Gosain A K	11604609	Normals	None	None	Hand, None	Finger Tapping, None	Move, Passive/Rest	Normal Mapping	Finger Tapping/Button Press	Action.Execution	Y	5
30023	1	Left Hand Sequence Learning, Increases	Experimental Brain Research	2002	Grafton S T	12232693	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Learning	Sequence Recall/Learning	Action.Motor Learning	Y	8
30023	2	Left Hand Sequence Learning, Decreases	Experimental Brain Research	2002	Grafton S T	12232693	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Learning	Sequence Recall/Learning	Action.Motor Learning	N	8
30023	3	Right Hand Mirror > Original	Experimental Brain Research	2002	Grafton S T	12232693	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Learning	Sequence Recall/Learning	Action.Motor Learning	Y	8
30024	1	Compatible Pattern Encoding, Increases	Journal of Cognitive Neuroscience	2001	Grafton S T	11244547	Normals	Visual	Shapes	Hand	Grasp	Track	Learning	Visual Pursuit/Tracking	Action.Motor Learning	Y	7
30024	2	Compatible Pattern Encoding, Decreases	Journal of Cognitive Neuroscience	2001	Grafton S T	11244547	Normals	Visual	Shapes	Hand	Grasp	Track	Learning	Visual Pursuit/Tracking	Action.Motor Learning	N	7
30024	3	Incompatible Pattern Encoding, Increases	Journal of Cognitive Neuroscience	2001	Grafton S T	11244547	Normals	Visual	Shapes	Hand	Grasp	Track	Learning	Visual Pursuit/Tracking	Action.Motor Learning	Y	6
30024	4	Incompatible Pattern Encoding, Decreases	Journal of Cognitive Neuroscience	2001	Grafton S T	11244547	Normals	Visual	Shapes	Hand	Grasp	Track	Learning	Visual Pursuit/Tracking	Action.Motor Learning	N	6
30025	1	Sequence Encoding - Small Keyboard	Journal of Neuroscience	1998	Grafton S T	9801380	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Learning	Sequence Recall/Learning	Action.Motor Learning	Y	20
30025	2	Sequence Retrieval After Motor Transfer	Journal of Neuroscience	1998	Grafton S T	9801380	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Learning	Sequence Recall/Learning	Action.Motor Learning	Y	20
30026	1	Braille, Right > Rest	Brain	1998	Sadato N	9679774	Blindness	None, Tactile	Braille, None	None, Oral/Facial	None, Speech	Detect, Passive/Rest	Disease Effects	Braille Reading	Action.Execution, Cognition.Language.Speech, Perception.Somesthesis	Y	8
30026	2	Braille, Left > Rest	Brain	1998	Sadato N	9679774	Blindness	None, Tactile	Braille, None	None, Oral/Facial	None, Speech	Detect, Passive/Rest	Disease Effects	Braille Reading	Action.Execution, Cognition.Language.Speech, Perception.Somesthesis	Y	8
30026	3	Sweep-Rest (Sighted)	Brain	1998	Sadato N	9679774	Normals	None, Tactile	Braille, None	Hand, None	Flexion/Extension, None	Move, Passive/Rest	Normal Mapping	Tactile Monitor/Discrimination	Action.Execution, Perception.Somesthesis	Y	10
30026	4	Discrimination-Rest (Sighted)	Brain	1998	Sadato N	9679774	Normals	None, Tactile	Braille, None	None, Oral/Facial	None, Speech	Discriminate, Passive/Rest	Normal Mapping	Tactile Monitor/Discrimination	Action.Execution, Perception.Somesthesis	Y	10
30026	5	Rest-Discrimination (Sighted)	Brain	1998	Sadato N	9679774	Normals	None, Tactile	Braille, None	None, Oral/Facial	None, Speech	Discriminate, Passive/Rest	Normal Mapping	Tactile Monitor/Discrimination	Action.Execution, Perception.Somesthesis	N	10
30026	6	Discrimination-Sweep (Sighted)	Brain	1998	Sadato N	9679774	Normals	Tactile	Braille	Hand, Oral/Facial	Flexion/Extension, Speech	Discriminate, Move	Normal Mapping	Tactile Monitor/Discrimination	Action.Execution, Perception.Somesthesis	Y	10
30026	7	Sweep-Rest (Blind)	Brain	1998	Sadato N	9679774	Blindness	None, Tactile	Braille, None	Hand, None	Flexion/Extension, None	Move, Passive/Rest	Disease Effects	Tactile Monitor/Discrimination	Action.Execution, Perception.Somesthesis	Y	6
30026	8	Discrimination-Rest (Blind)	Brain	1998	Sadato N	9679774	Blindness	None, Tactile	Braille, None	None, Oral/Facial	None, Speech	Discriminate, Passive/Rest	Disease Effects	Tactile Monitor/Discrimination	Action.Execution, Perception.Somesthesis	Y	6
30026	9	Rest-Discrimination (Blind)	Brain	1998	Sadato N	9679774	Blindness	None, Tactile	Braille, None	None, Oral/Facial	None, Speech	Discriminate, Passive/Rest	Disease Effects	Tactile Monitor/Discrimination	Action.Execution, Perception.Somesthesis	N	6
30026	10	Blind > Sighted (Non-Braille discrimination compared with rest)	Brain	1998	Sadato N	9679774	Blindness, Normals	None, Tactile	Braille, None	None, Oral/Facial	None, Speech	Discriminate, Passive/Rest	Disease Effects	Tactile Monitor/Discrimination	Action.Execution, Perception.Somesthesis	Y	6
30026	11	Sighted > Blind (Non-Braille discrimination compared with rest)	Brain	1998	Sadato N	9679774	Blindness, Normals	None, Tactile	Braille, None	None, Oral/Facial	None, Speech	Discriminate, Passive/Rest	Disease Effects	Tactile Monitor/Discrimination	Action.Execution, Perception.Somesthesis	Y	6
30026	12	Blind > Sighted (Rest)	Brain	1998	Sadato N	9679774	Blindness, Normals	None	None	None	None	Passive/Rest	Disease Effects	Rest	Action.Rest	Y	6
30026	13	Sighted > Blind (Rest)	Brain	1998	Sadato N	9679774	Blindness, Normals	None	None	None	None	Passive/Rest	Disease Effects	Rest	Action.Rest	Y	6
30027	1	Encoding vs. Reference, Increases	Behavioural Brain Research	1998	Halsband U	9867232	Normals	Visual	Pseudowords, Words	Oral/Facial	Speech	Read	Normal Mapping	Reading (Overt)	Cognition.Language.Speech	Y	13
30027	2	Encoding vs. Reference, Decreases	Behavioural Brain Research	1998	Halsband U	9867232	Normals	Visual	Pseudowords, Words	Oral/Facial	Speech	Read	Normal Mapping	Reading (Overt)	Cognition.Language.Speech	N	13
30027	3	Retrieval vs. Reference, Increases	Behavioural Brain Research	1998	Halsband U	9867232	Normals	Visual	Pseudowords, Words	Oral/Facial	Speech	Read, Recall	Normal Mapping	Paired Associate Recall	Cognition.Memory.Explicit	Y	13
30027	4	Retrieval vs. Reference, Decreases	Behavioural Brain Research	1998	Halsband U	9867232	Normals	Visual	Pseudowords, Words	Oral/Facial	Speech	Read, Recall	Normal Mapping	Paired Associate Recall	Cognition.Memory.Explicit	N	13
30028	1	Pleasant vs. Neutral Pictures	Nature Neuroscience	1999	Hamann S B	10195224	Normals	Visual	Pictures	None	None	Attend	Normal Mapping	Passive Viewing	Emotion.Happiness	Y	10
30028	2	Aversive vs. Neutral Pictures	Nature Neuroscience	1999	Hamann S B	10195224	Normals	Visual	Pictures	None	None	Attend	Normal Mapping	Passive Viewing	Emotion.Disgust	Y	10
30028	3	Interesting vs. Neutral Pictures	Nature Neuroscience	1999	Hamann S B	10195224	Normals	Visual	Pictures	None	None	Attend	Normal Mapping	Passive Viewing	Emotion	Y	10
30029	1	Visual - Control	Cerebral Cortex	2001	Herath P	11532885	Normals	Tactile, Visual	Abstract/Geometrical, Tactile Stimulation	Hand, None	Button Press, None	Attend	Normal Mapping	Visual Distractor/Visual Attention	Perception.Vision	Y	10
30029	2	Somatosensory - Control	Cerebral Cortex	2001	Herath P	11532885	Normals	Tactile, Visual	Abstract/Geometrical, Tactile Stimulation	Hand, None	Button Press, None	Attend	Normal Mapping	Tactile Monitor/Discrimination	Perception.Somesthesis	Y	10
30029	3	Dual-Short ISI - Control	Cerebral Cortex	2001	Herath P	11532885	Normals	Tactile, Visual	Abstract/Geometrical, Tactile Stimulation	Hand, None	Button Press, None	Attend	Normal Mapping	Tactile Monitor/Discrimination, Visual Distractor/Visual Attention	Perception.Somesthesis, Perception.Vision	Y	10
30029	4	Dual-Long ISI - Control	Cerebral Cortex	2001	Herath P	11532885	Normals	Tactile, Visual	Abstract/Geometrical, Tactile Stimulation	Hand, None	Button Press, None	Attend	Normal Mapping	Tactile Monitor/Discrimination, Visual Distractor/Visual Attention	Perception.Somesthesis, Perception.Vision	Y	10
30029	5	Dual Task - Single Tasks	Cerebral Cortex	2001	Herath P	11532885	Normals	Tactile, Visual	Abstract/Geometrical, Tactile Stimulation	Hand	Button Press	Attend	Normal Mapping	Tactile Monitor/Discrimination, Visual Distractor/Visual Attention	Perception.Somesthesis, Perception.Vision	Y	10
30029	6	Dual Short ISI - Long ISI	Cerebral Cortex	2001	Herath P	11532885	Normals	Tactile, Visual	Abstract/Geometrical, Tactile Stimulation	Hand	Button Press	Attend	Normal Mapping	Tactile Monitor/Discrimination, Visual Distractor/Visual Attention	Perception.Somesthesis, Perception.Vision	Y	10
30030	1	STM + STMCOLDISTR + STMLTMDIST - 3CatRec	Human Brain Mapping	2001	Herath P	11169875	Normals	Visual	Abstract/Geometrical	Hand	Button Press	Discriminate	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	Y	10
30030	2	3CatRec - STM + STMCOLDISTR + STMLTMDISTR	Human Brain Mapping	2001	Herath P	11169875	Normals	Visual	Abstract/Geometrical	Hand	Button Press	Discriminate	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	N	10
30030	3	2CatRec - STMCOLDISTR + STMLTMDISTR	Human Brain Mapping	2001	Herath P	11169875	Normals	Visual	Abstract/Geometrical	Hand	Button Press	Discriminate	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	N	10
30030	4	STMLTMDISTR - CatRec	Human Brain Mapping	2001	Herath P	11169875	Normals	Visual	Abstract/Geometrical	Hand	Button Press	Discriminate	Normal Mapping	Cued Explicit Recognition/Recall	Cognition.Memory.Explicit	Y	10
30031	1	Acupuncture vs. Tactile Stimulation, Increases	Human Brain Mapping	2000	Hui K K S	10643726	Normals	Tactile	Acupuncture, Tactile Stimulation	None	None	Attend	Normal Mapping	Acupuncture	Perception.Somesthesis	Y	13
